BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
N2                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
N2(V6)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
N2(A3Su+)                                                       
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O2                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O                                                               
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O(4S0)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O3                                                              
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
--------------------------------------------------
O2(b1)                                                          
\\Mac\Home\Desktop\bolsig\bolsigdbN2O2.txt
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
A30    Error code                                                      
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29         A30    
          15   233.8       34.10      0.4567E+25  0.1075E+27  0.7167E+25  0.1687E+27  0.2941E-13  0.3851E-13  0.3923E-14   0.000      0.3674E-20   0.000      0.2497E-12  0.4648E-16  0.1159E-12  0.1340E-12   1530.       29.00       3.000      -1.000    
          16   268.3       39.30      0.4387E+25  0.1183E+27  0.6987E+25  0.1947E+27  0.3052E-13  0.4010E-13  0.4663E-14   0.000      0.3963E-20   0.000      0.3157E-12  0.5476E-16  0.1324E-12  0.1835E-12   1781.       20.00       2.000      -1.000    
          17   305.1       45.19      0.4238E+25  0.1308E+27  0.6856E+25  0.2266E+27  0.3151E-13  0.4150E-13  0.5429E-14   0.000      0.4199E-20   0.000      0.3945E-12  0.6401E-16  0.1491E-12  0.2458E-12   2414.       31.00       3.000      -1.000    
          18   344.3       51.90      0.4116E+25  0.1456E+27  0.6755E+25  0.2650E+27  0.3238E-13  0.4273E-13  0.6208E-14   0.000      0.4381E-20   0.000      0.4879E-12  0.7424E-16  0.1657E-12  0.3228E-12   2811.       22.00       2.000      -1.000    
          19   385.9       59.49      0.4016E+25  0.1628E+27  0.6690E+25  0.3117E+27  0.3314E-13  0.4379E-13  0.6991E-14   0.000      0.4511E-20   0.000      0.5980E-12  0.8558E-16  0.1821E-12  0.4168E-12   3811.       33.00       3.000      -1.000    
          20   429.8       68.11      0.3935E+25  0.1827E+27  0.6649E+25  0.3678E+27  0.3377E-13  0.4469E-13  0.7766E-14   0.000      0.4591E-20   0.000      0.7270E-12  0.9801E-16  0.1980E-12  0.5301E-12   4437.       23.00       2.000      -1.000    
          21   476.1       77.88      0.3872E+25  0.2061E+27  0.6637E+25  0.4362E+27  0.3430E-13  0.4543E-13  0.8529E-14   0.000      0.4626E-20   0.000      0.8778E-12  0.1117E-15  0.2134E-12  0.6660E-12   6015.       36.00       3.000      -1.000    
          22   524.9       88.99      0.3824E+25  0.2332E+27  0.6643E+25  0.5178E+27  0.3471E-13  0.4600E-13  0.9271E-14   0.000      0.4620E-20   0.000      0.1053E-11  0.1267E-15  0.2282E-12  0.8272E-12   7003.       23.00       2.000      -1.000    
          23   575.9       101.6      0.3785E+25  0.2646E+27  0.6666E+25  0.6158E+27  0.3502E-13  0.4647E-13  0.9979E-14   0.000      0.4578E-20   0.000      0.1256E-11  0.1429E-15  0.2420E-12  0.1016E-11   8153.       22.00       2.000      -1.000    
          24   629.4       115.9      0.3762E+25  0.3015E+27  0.6708E+25  0.7329E+27  0.3523E-13  0.4675E-13  0.1066E-13   0.000      0.4502E-20   0.000      0.1490E-11  0.1606E-15  0.2551E-12  0.1238E-11   9493.       23.00       2.000      -1.000    
          25   685.2       132.1      0.3746E+25  0.3438E+27  0.6760E+25  0.8718E+27  0.3533E-13  0.4695E-13  0.1130E-13   0.000      0.4400E-20   0.000      0.1759E-11  0.1797E-15  0.2671E-12  0.1496E-11  0.1000E+05   24.00       2.000      -1.000    
          26   743.4       150.5      0.3741E+25  0.3931E+27  0.6825E+25  0.1036E+28  0.3534E-13  0.4701E-13  0.1189E-13   0.000      0.4276E-20   0.000      0.2068E-11  0.2004E-15  0.2781E-12  0.1793E-11  0.1000E+05   12.00       1.000      -1.000    
          27   804.0       171.4      0.3745E+25  0.4505E+27  0.6902E+25  0.1232E+28  0.3526E-13  0.4696E-13  0.1244E-13   0.000      0.4133E-20   0.000      0.2421E-11  0.2229E-15  0.2881E-12  0.2137E-11  0.1000E+05   12.00       1.000      -1.000    
          28   867.0       195.1      0.3757E+25  0.5174E+27  0.6991E+25  0.1463E+28  0.3511E-13  0.4681E-13  0.1295E-13   0.000      0.3975E-20   0.000      0.2824E-11  0.2473E-15  0.2970E-12  0.2531E-11  0.1000E+05   12.00       1.000      -1.000    
          29   932.3       222.1      0.3778E+25  0.5954E+27  0.7090E+25  0.1736E+28  0.3489E-13  0.4656E-13  0.1341E-13   0.000      0.3807E-20   0.000      0.3284E-11  0.2736E-15  0.3049E-12  0.2983E-11  0.1000E+05   12.00       1.000      -1.000    
          30   1000.       252.8      0.3806E+25  0.6865E+27  0.7198E+25  0.2058E+28  0.3460E-13  0.4621E-13  0.1382E-13   0.000      0.3631E-20   0.000      0.3806E-11  0.3023E-15  0.3116E-12  0.3499E-11  0.1000E+05   12.00       1.000      -1.000    
          31   1.000       3.887      0.3338E+25  0.6742E+25  0.3385E+25  0.1150E+26  0.4886E-13  0.5269E-13  0.7035E-16  0.8754E-16  0.2107E-19  0.2622E-19  0.3338E-17  0.1053E-16  0.6171E-16 -0.6687E-16   59.18       226.0       23.00      -1.000    
          32   2.188       4.146      0.2891E+25  0.7081E+25  0.3328E+25  0.1152E+26  0.5142E-13  0.6083E-13  0.7527E-16  0.9253E-16  0.1190E-19  0.1463E-19  0.1384E-16  0.1128E-16  0.7589E-16 -0.7157E-16   59.18       8.000       1.000      -1.000    
          33   5.751       4.314      0.2573E+25  0.7279E+25  0.3280E+25  0.1153E+26  0.5328E-13  0.6836E-13  0.7861E-16  0.9308E-16  0.5312E-20  0.6290E-20  0.8511E-16  0.1177E-16  0.1371E-15 -0.6244E-16   59.18       7.000       1.000      -1.000    
          34   11.69       4.360      0.2528E+25  0.7290E+25  0.3256E+25  0.1155E+26  0.5397E-13  0.6957E-13  0.8077E-16  0.8710E-16  0.2733E-20  0.2947E-20  0.3455E-15  0.1197E-16  0.3617E-15 -0.2760E-16   59.18       6.000       1.000      -1.000    
          35   20.01       4.621      0.2444E+25  0.7538E+25  0.3212E+25  0.1168E+26  0.5626E-13  0.7195E-13  0.9006E-16  0.7733E-16  0.1842E-20  0.1581E-20  0.9783E-15  0.1288E-16  0.9064E-15  0.5883E-16   59.18       5.000       1.000      -1.000    
          36   30.70       5.175      0.2323E+25  0.8132E+25  0.3150E+25  0.1197E+26  0.6010E-13  0.7570E-13  0.1118E-15  0.6315E-16  0.1568E-20  0.8855E-21  0.2189E-14  0.1477E-16  0.1922E-14  0.2521E-15   59.18       5.000       1.000      -1.000    
          37   43.76       5.876      0.2194E+25  0.8877E+25  0.3064E+25  0.1238E+26  0.6417E-13  0.8016E-13  0.1492E-15  0.4955E-16  0.1553E-20  0.5160E-21  0.4202E-14  0.1725E-16  0.3601E-14  0.5855E-15   68.90       10.00       2.000      -1.000    
          38   59.21       6.588      0.2078E+25  0.9588E+25  0.2965E+25  0.1283E+26  0.6780E-13  0.8464E-13  0.2066E-15  0.3953E-16  0.1679E-20  0.3213E-21  0.7284E-14  0.1996E-16  0.6165E-14  0.1101E-14   68.90       6.000       1.000      -1.000    
          39   77.02       7.296      0.1980E+25  0.1025E+26  0.2861E+25  0.1333E+26  0.7115E-13  0.8881E-13  0.2935E-15  0.3245E-16  0.1924E-20  0.2127E-21  0.1175E-13  0.2290E-16  0.9823E-14  0.1905E-14   80.23       12.00       2.000      -1.000    
          40   97.22       7.998      0.1887E+25  0.1081E+26  0.2752E+25  0.1385E+26  0.7426E-13  0.9321E-13  0.4199E-15  0.2775E-16  0.2289E-20  0.1513E-21  0.1783E-13  0.2609E-16  0.1467E-13  0.3138E-14   80.23       6.000       1.000      -1.000    
          41   119.8       8.721      0.1801E+25  0.1133E+26  0.2643E+25  0.1440E+26  0.7734E-13  0.9767E-13  0.5969E-15  0.2436E-16  0.2767E-20  0.1129E-21  0.2584E-13  0.2963E-16  0.2082E-13  0.4995E-14   93.41       14.00       2.000      -1.000    
          42   144.7       9.489      0.1723E+25  0.1184E+26  0.2539E+25  0.1498E+26  0.8046E-13  0.1021E-12  0.8350E-15  0.2166E-16  0.3348E-20  0.8682E-22  0.3610E-13  0.3361E-16  0.2835E-13  0.7721E-14   108.8       14.00       2.000      -1.000    
          43   172.1       10.30      0.1652E+25  0.1235E+26  0.2439E+25  0.1560E+26  0.8365E-13  0.1064E-12  0.1142E-14  0.1943E-16  0.4016E-20  0.6833E-22  0.4891E-13  0.3806E-16  0.3731E-13  0.1157E-13   126.6       14.00       2.000      -1.000    
          44   201.8       11.17      0.1586E+25  0.1285E+26  0.2344E+25  0.1623E+26  0.8689E-13  0.1109E-12  0.1522E-14  0.1758E-16  0.4759E-20  0.5495E-22  0.6454E-13  0.4299E-16  0.4769E-13  0.1681E-13   147.4       14.00       2.000      -1.000    
          45   233.8       12.08      0.1522E+25  0.1334E+26  0.2253E+25  0.1688E+26  0.9016E-13  0.1155E-12  0.1979E-14  0.1603E-16  0.5560E-20  0.4502E-22  0.8324E-13  0.4841E-16  0.5947E-13  0.2373E-13   171.7       14.00       2.000      -1.000    
          46   268.3       13.05      0.1464E+25  0.1383E+26  0.2168E+25  0.1757E+26  0.9347E-13  0.1201E-12  0.2517E-14  0.1470E-16  0.6409E-20  0.3743E-22  0.1054E-12  0.5438E-16  0.7267E-13  0.3267E-13   199.9       14.00       2.000      -1.000    
          47   305.1       14.07      0.1409E+25  0.1433E+26  0.2087E+25  0.1827E+26  0.9680E-13  0.1248E-12  0.3133E-14  0.1354E-16  0.7290E-20  0.3150E-22  0.1311E-12  0.6090E-16  0.8718E-13  0.4391E-13   199.9       7.000       1.000      -1.000    
          48   344.3       15.14      0.1357E+25  0.1482E+26  0.2011E+25  0.1898E+26  0.1002E-12  0.1296E-12  0.3828E-14  0.1251E-16  0.8195E-20  0.2679E-22  0.1608E-12  0.6799E-16  0.1030E-12  0.5781E-13   232.7       14.00       2.000      -1.000    
